id,clientId,date,startTime,endTime,appointmentType,details
1360,3053,2024-01-27,14:30,15:00,"Kids Cut - (12 & Under)",""
1361,3056,2022-05-06,16:00,16:30,"Beard Grooming Only",""
1362,3057,2024-05-15,12:00,12:45,"Adult Cut + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores",""
1363,3058,2024-06-04,11:00,11:45,"Adult Cut + Beard Grooming",""
1364,3059,2020-05-23,19:00,20:00,"Haircut + Beard (Adults)",""
1365,3059,2023-12-16,09:00,09:45,"Adult Cut + Beard Grooming",""
1366,3061,2021-01-07,17:15,17:45,"Adult Haircut (18 & Up)",""
1367,3062,2020-07-15,17:00,17:30,"Adult Cut",""
1368,3062,2020-12-05,10:00,10:30,"Adult Cut",""
1369,3062,2021-03-24,17:15,17:45,"Kids Cut - (12 & Under)",""
1370,3065,2022-05-27,15:00,15:30,"Adult Cut",""
1371,3066,2021-12-18,16:45,17:30,"High-School - (Full Service)",""
1372,3066,2024-06-26,16:00,17:00,"Adult - (Full Service)",""
1373,3068,2017-03-19,10:00,10:40,"UziCut with Beard Grooming",""
1374,3069,2021-03-06,12:00,12:30,"Adult Cut",""
1375,2993,2020-01-12,13:00,14:00,"Haircut + Beard (Adults)",""
1376,3073,2023-06-14,12:00,12:45,"Adult Cut + Beard Grooming",""
1377,1692,2022-07-13,14:45,15:45,"Adult - (Full Service)",""
1378,1692,2024-05-29,12:30,13:15,"Adult Cut + Beard Grooming",""
1379,1698,2018-11-27,20:15,21:15,"Haircut + Beard (Adults)",""
1380,3227,2021-07-01,11:15,12:00,"Adult Haircut + Beard (18 & Up)",""
1381,3077,2021-05-28,14:30,15:15,"Adult Haircut + Beard (18 & Up)",""
1382,3078,2024-06-05,12:00,12:30,"Adult Cut + Wax - Hair Removal ($5+)",""
1383,3079,2020-06-20,16:00,16:45,"Adult Cut + Beard Grooming, Hot Towel + Black Mask Treatment for Clogged Pores, Wax - Hair Removal ($5+)",""
1384,3080,2021-04-29,16:00,16:45,"Adult Haircut + Beard (18 & Up)",""
1385,3081,2017-10-03,20:00,21:00,"Haircut + Beard (Adults)",""
1386,3082,2017-07-02,17:00,17:30,"Kids Cut - (12 & Under)",""
1387,3083,2020-08-26,11:00,11:30,"Adult Cut",""
1388,3084,2020-11-18,14:15,14:45,"Adult Cut",""
1389,3085,2021-05-25,12:45,13:15,"Adult Haircut (18 & Up)",""
1390,3086,2021-05-27,11:15,12:00,"Student Haircut (17 & Under)",""
1391,3087,2021-07-27,16:00,16:30,"Adult Cut",""
1392,3088,2017-09-30,18:00,19:00,"Haircut + Beard (Adults)",""
1393,3089,2024-05-30,16:00,17:00,"Adult - (Full Service)",""
1394,3090,2018-10-25,20:15,21:15,"Haircut + Beard (Adults)",""
1395,3091,2017-10-20,16:00,16:30,"Kids Cut - (12 & Under)",""
1396,3089,2022-07-30,12:45,13:30,"Adult Cut + Beard Grooming",""
1397,3093,2021-11-25,15:15,15:45,"High-School Cut",""
1398,3094,2022-07-06,14:30,15:00,"Kids Cut - (12 & Under)",""
1399,3096,2024-05-01,14:00,14:45,"Adult Cut + Beard Grooming",""
1400,3094,2020-10-06,15:30,16:00,"Kids - (12 & Under)/Seniors",""
1401,3098,2024-05-16,10:00,10:30,"Adult Cut + Wax - Hair Removal ($5+)",""
1402,3098,2024-07-05,15:00,15:30,"Adult Cut + Wax - Hair Removal ($5+)",""
1403,3100,2021-09-01,15:45,16:15,"Kids Cut - (12 & Under)",""
1404,3081,2017-05-03,21:30,22:30,"Haircut + Beard (Adults)",""
1405,3102,2023-04-04,12:45,13:30,"Adult Cut + Beard Grooming",""
1406,3104,2020-06-25,11:00,11:30,"Adult Cut",""
1407,3105,2020-09-09,15:30,16:00,"Adult Cut",""
1408,3106,2021-03-30,10:30,11:15,"Adult Cut + Beard Grooming",""
1409,3107,2022-11-10,11:00,11:30,"Adult Cut",""
1410,2996,2023-08-22,13:30,14:00,"Adult Cut",""
1411,2993,2019-03-17,13:30,14:30,"Haircut + Beard (Adults)",""
1412,3110,2023-01-19,16:15,16:45,"Adult Cut",""
1413,1698,2017-03-11,16:40,17:20,"UziCut with Beard Grooming",""
1414,3112,2019-01-20,15:00,16:00,"Haircut + Beard (Adults)",""
1415,3113,2020-12-12,12:15,13:00,"Adult Cut + Beard Grooming",""
1416,3114,2021-08-06,13:15,13:45,"Adult Cut + Colour Enhancement for Patchy Beard, Hot Towel + Black Mask Treatment for Clogged Pores",""
1417,3115,2019-05-03,20:00,21:00,"Haircut + Beard (Adults)",""
1418,3116,2024-03-28,15:30,16:15,"Adult Cut + Beard Grooming",""
1419,3117,2022-03-22,13:00,13:45,"Adult Cut + Beard Grooming",""
1420,3116,2024-06-20,16:00,17:00,"Adult - (Full Service)",""
1421,3116,2024-06-20,12:30,13:00,"Lineup + Taper + Beard Grooming",""
1422,3120,2023-03-21,11:45,12:30,"Adult Cut + Beard Grooming",""
1423,3121,2017-09-28,18:40,19:40,"Haircut + Beard (Adults)",""
1424,3122,2019-07-30,19:30,20:00,"UziExpress Clean Up",""
1425,2342,2020-11-05,16:30,17:00,"Kids Cut - (12 & Under)",""
1426,3124,2022-02-01,10:30,11:00,"Adult Cut + Colour Enhancement for Patchy Beard",""
1427,3125,2020-12-09,15:15,15:45,"Adult Cut",""
1428,3001,2021-11-11,16:00,16:30,"Kids Cut - (12 & Under)",""
1429,3126,2022-06-01,17:00,18:00,"Adult - (Full Service)",""
1430,3127,2020-11-27,11:00,11:45,"Adult Cut + Beard Grooming, Wax - Hair Removal ($5+)",""
1431,3128,2020-07-09,16:30,17:15,"Adult Cut + Beard Grooming",""
1432,3129,2022-04-13,13:30,14:00,"Adult Cut",""
1433,2997,2021-01-08,11:30,12:00,"Adult Haircut (18 & Up)",""
1434,3131,2020-09-08,11:30,12:00,"High-School Cut",""
1435,3132,2021-03-16,16:30,17:00,"Adult Cut",""
1436,3133,2019-04-11,20:00,21:00,"Haircut + Beard (Adults)",""
1437,3134,2024-06-05,11:30,12:00,"Beard Grooming Only",""
1438,3135,2020-11-26,14:15,15:00,"Adult Cut + Beard Grooming",""
1439,3136,2020-12-01,11:00,11:30,"Beard Grooming Only",""
1440,3134,2021-09-22,12:15,13:00,"Adult Cut + Beard Grooming",""
1441,3138,2022-01-05,10:30,11:00,"Adult Cut",""
1442,3139,2018-11-25,15:00,16:00,"Haircut + Beard (Adults)",""
1443,3140,2019-10-02,19:30,20:30,"Haircut + Beard (Adults)",""
1444,2298,2023-04-19,09:00,09:45,"Hair Cut + Beard",""
1445,3142,2024-06-11,09:00,09:30,"Adult Cut",""
1446,3143,2017-10-05,19:00,19:30,"Kids Cut - (12 & Under)",""
1447,3144,2017-12-03,10:00,11:15,"Haircut + Beard (Adults) + Beard Grooming",""
1448,3145,2023-05-13,12:00,12:30,"Adult Cut",""
1449,3146,2021-09-18,15:30,16:00,"High-School Cut",""
1450,3147,2021-06-15,14:30,15:00,"Adult Haircut (18 & Up)",""
1451,2997,2024-06-22,11:00,11:45,"Adult Cut + Beard Grooming",""
1452,2997,2022-11-04,15:00,15:30,"Adult Cut",""
1453,3150,2021-04-08,19:30,20:15,"Haircut + Beard",""
1454,3151,2021-05-28,15:15,16:00,"Adult Haircut + Beard (18 & Up)",""
1455,3152,2021-07-31,10:45,11:30,"Adult Haircut + Beard (18 & Up)",""
1456,3153,2021-03-20,16:00,16:45,"Haircut + Beard",""
1457,3154,2019-01-13,12:00,13:00,"Haircut + Beard (Adults)",""
1458,3155,2022-04-01,12:00,12:30,"Beard Grooming Only",""
1459,3002,2022-12-22,11:30,12:15,"Adult Cut + Beard Grooming",""
1460,3135,2017-04-29,13:40,14:10,"UziExpress Clean Up",""
1461,3228,2022-06-10,15:45,16:15,"High-School Cut",""
1462,3159,2023-03-24,10:30,11:15,"Adult Cut + Beard Grooming",""
1463,3160,2021-07-03,12:15,12:45,"Adult Haircut (18 & Up)",""
1464,2350,2021-09-04,12:00,12:30,"Adult Cut",""
1465,2361,2024-07-10,14:30,15:00,"Adult Cut",""
1466,3163,2020-12-18,17:15,18:00,"Adult Cut + Beard Grooming, Wax - Hair Removal ($5+)",""
1467,3164,2022-08-02,14:15,14:45,"Adult Cut",""
1468,2994,2019-10-08,09:00,10:00,"Haircut + Beard (Adults)",""
1469,3048,2023-08-17,12:15,13:00,"Adult Cut + Beard Grooming",""
1470,3048,2023-07-19,14:45,15:30,"Adult Cut + Beard Grooming",""
1471,3168,2020-07-15,12:15,12:45,"Adult Cut",""
1472,2379,2023-02-11,14:30,15:15,"Adult Cut + Beard Grooming",""
1473,3169,2021-04-03,16:00,16:45,"Haircut + Beard",""
1474,2361,2023-12-16,11:30,12:00,"Kids Cut - (12 & Under)",""
1475,3171,2019-11-22,09:00,10:00,"Haircut + Beard (Adults)",""
1476,3172,2024-06-21,10:30,11:30,"Adult - (Full Service)",""
1477,2562,2021-01-22,11:00,11:45,"Adult Haircut (18 & Up) + Beard Grooming",""
1478,2361,2021-03-31,17:00,17:45,"Adult Cut + Beard Grooming",""
1479,2361,2021-04-10,14:30,15:15,"Student Haircut (17 & Under)",""
1480,2662,2022-08-06,16:00,17:00,"Adult - (Full Service)",""
